timestamp,session_id,topic,bloom_level,question_id,confidence,correct,reinforcement
1759611639.7870586,1759611615,Basic Syntax,Understand,174,2,True,â¬†ï¸ Progressing to: Understand
1759611659.761689,1759611615,Basic Syntax,Understand,179,3,False,ğŸ”„ Reinforcing: Understand due to low confidence
1759611674.5994904,1759611615,Basic Syntax,Understand,48,3,False,ğŸ”„ Reinforcing: Understand due to low confidence
1759611688.1242604,1759611615,Basic Syntax,Understand,205,3,False,ğŸ”„ Reinforcing: Understand due to low confidence
1759611713.9595182,1759611615,Basic Syntax,Understand,85,3,False,ğŸ”„ Reinforcing: Understand due to low confidence
1759611718.99132,1759611615,Basic Syntax,Understand,73,3,True,ğŸ”„ Reinforcing: Understand due to low confidence
1759611722.7677505,1759611615,Basic Syntax,Understand,194,3,True,ğŸ”„ Reinforcing: Understand due to low confidence
1759611727.0375211,1759611615,Basic Syntax,Understand,3,3,True,ğŸ”„ Reinforcing: Understand due to low confidence
1759611733.1771429,1759611615,Basic Syntax,Understand,93,3,False,ğŸ”„ Reinforcing: Understand due to low confidence
1759611758.6687958,1759611615,Basic Syntax,Understand,57,3,True,ğŸ”„ Reinforcing: Understand due to low confidence
1759611767.205883,1759611615,Basic Syntax,Understand,179,3,True,ğŸ”– Reviewing a bookmarked question.
1759611771.2968514,1759611615,Basic Syntax,Understand,179,3,True,ğŸ”– Reviewing a bookmarked question.
1759611774.0139964,1759611615,Basic Syntax,Understand,179,3,True,ğŸ”– Reviewing a bookmarked question.
